SN,Time,TestTime,Result,Brightness,Uniformity,ImageQuality,PWM,CameraID,TestMode,FailureMessage,maxPWMBrightness,GlobalFactora,GlobalFactorb,GlobalFactorc,GridBlockMin,GridBlockMax,DarkNoise,Centerx,Centery,PWM20Perecent,PWM20BrightnessRaw,RetryCounter
C07Z3007N4CM,Thu Nov  7 21:57:40 20,22,fail,1378.165286,76.034117,70.477876,830,50604451,Calibration,,5935.530963,0.000345,27.97,-74.89,36.570312,67.636719,1.867135,653,499,1362.4554,51.356339,1
C07Z3007N4CM,Thu Nov  7 21:58:14 20,22,fail,1377.257064,77.201772,69.64393,827,50604451,Calibration,,5940.025324,0.000345,27.97,-74.89,35.960938,65.773438,1.80453,662,484,1356.994199,51.161333,1
C07Z3007N4CM,Thu Nov  7 21:58:50 20,22,fail,1379.302393,77.278203,71.633629,835,50604451,Calibration,,5937.108315,0.000345,27.97,-74.89,37.082031,66.457031,1.955933,660,527,1353.061951,51.020921,1
C07Z3007N4CM,Thu Nov  7 21:59:30 20,22,fail,1381.041503,75.714665,69.693024,829,50604451,Calibration,,5939.992033,0.000345,27.97,-74.89,36.214844,67.464844,1.867131,644,496,1362.435505,51.355628,1
C07Z3003N4CM,Thu Nov  7 22:04:41 20,22,fail,1378.158311,72.193791,70.121771,738,50604451,Calibration,,6233.328001,0.000345,27.97,-74.89,36.332031,69.222656,1.868872,630,535,1531.519959,57.392749,1
C07Z3003N4CM,Thu Nov  7 22:05:27 20,22,fail,1378.930988,74.511526,63.551829,732,50604451,Calibration,,6240.299002,0.000345,27.97,-74.89,32.945312,68.132597,1.885304,638,490,1545.760757,57.901173,1
C07Z3003N4CM,Thu Nov  7 22:06:15 20,22,fail,1380.107696,72.509621,66.314072,730,50604451,Calibration,,6245.241517,0.000345,27.97,-74.89,34.472656,67.453039,1.892321,634,520,1554.510546,58.213554,1
C07Z3003N4CM,Thu Nov  7 22:06:52 20,23,fail,1382.124148,76.075674,62.85445,729,50604451,Calibration,,6257.407323,0.000345,27.97,-74.89,32.65625,66.375,1.923561,634,495,1554.814251,58.224396,1
C07Z3003N4CM,Thu Nov  7 22:07:39 20,33,fail,1377.83301,74.279372,68.921409,737,50604451,Calibration,,6261.418477,0.000345,27.97,-74.89,35.65625,67.078125,1.923713,633,517,1550.391768,58.066507,5
C07Z3003N4CM,Thu Nov  7 22:08:17 20,22,fail,1381.289357,73.156393,63.908643,729,50604451,Calibration,,6246.752423,0.000345,27.97,-74.89,33.226562,67.922652,1.88969,624,478,1548.123819,57.985538,1
C07Z3003N4CM,Thu Nov  7 22:08:53 20,22,fail,1380.201116,76.029716,63.307924,730,50604451,Calibration,,6257.278664,0.000345,27.97,-74.89,32.796875,66.070312,1.832455,616,490,1547.522847,57.964082,1
C07Z3003N4CM,Thu Nov  7 22:09:47 20,37,fail,1379.545786,75.102903,63.169193,730,50604451,Calibration,,6250.846923,0.000345,27.97,-74.89,32.746094,66.101562,1.926088,637,492,1549.799955,58.045379,1
C07Z3003N4CM,Thu Nov  7 22:10:24 20,23,fail,1381.946449,75.738797,63.318717,728,50604451,Calibration,,6257.222054,0.000345,27.97,-74.89,32.863281,66.242188,1.998417,635,470,1553.652628,58.182925,1
C07YX04MN4CL,Thu Nov  7 22:11:32 20,25,fail,1379.596467,75.542567,80.038794,910,50604451,Calibration,,5683.077472,0.000345,27.97,-74.89,41.625,65.285156,1.797237,687,513,1246.681053,47.222125,2
C07YX04MN4CL,Thu Nov  7 22:12:07 20,22,fail,1380.560054,81.481,81.549519,915,50604451,Calibration,,5709.758955,0.000345,27.97,-74.89,42.367188,62.976562,1.834471,707,485,1237.497101,46.894155,1
C07YX04MN4CL,Thu Nov  7 22:12:46 20,25,fail,1378.654971,76.930567,81.290508,911,50604451,Calibration,,5707.33512,0.000345,27.97,-74.89,42.195312,63.582031,1.911038,708,502,1237.482548,46.893636,2
C07YX04MN4CL,Thu Nov  7 22:13:27 20,22,fail,1380.384956,75.141646,80.304787,910,50604451,Calibration,,5670.555108,0.000345,27.97,-74.89,41.582031,65.082031,1.955022,709,513,1240.298005,46.994179,1
C07YX04MN4CL,Thu Nov  7 22:14:03 20,22,fail,1379.09495,75.838073,78.438182,900,50604451,Calibration,,5669.774657,0.000345,27.97,-74.89,40.588571,65.363281,1.837962,710,483,1253.590968,47.468885,1
C07YX04MN4CL,Thu Nov  7 22:14:52 20,36,fail,1382.877137,75.77717,80.416182,907,50604451,Calibration,,5693.077112,0.000345,27.97,-74.89,41.773438,65.273438,1.930484,701,482,1245.11483,47.166194,1
C07YX04MN4CL,Thu Nov  7 22:15:34 20,25,fail,1377.880641,72.692252,79.831513,909,50604451,Calibration,,5672.708001,0.000345,27.97,-74.89,41.405714,65.265625,1.802599,712,474,1245.858211,47.192741,2
C07YX04MN4CL,Thu Nov  7 22:16:14 20,22,fail,1380.704292,72.601441,79.890203,906,50604451,Calibration,,5689.611328,0.000345,27.97,-74.89,41.382857,64.984375,1.921612,702,516,1245.416083,47.176952,1
C07YX04MN4CL,Thu Nov  7 22:16:50 20,22,fail,1379.728894,77.070681,81.205466,911,50604451,Calibration,,5697.983887,0.000345,27.97,-74.89,42.144531,64.429688,1.835564,710,495,1239.049265,46.949585,1
C07YX021N4CM,Thu Nov  7 22:18:29 20,28,fail,1380.611513,74.390896,76.259775,899,50604451,Calibration,,5756.331486,0.000345,27.97,-74.89,39.570312,66.308594,1.882744,589,509,1257.220977,47.598515,3
C07YX021N4CM,Thu Nov  7 22:19:06 20,22,fail,1379.540723,77.472937,77.882958,896,50604451,Calibration,,5798.055291,0.000345,27.97,-74.89,40.335938,65.066406,1.783149,593,493,1263.566293,47.82511,1
C07YX021N4CM,Thu Nov  7 22:19:45 20,25,fail,1381.266073,78.14871,79.120815,888,50604451,Calibration,,5782.467854,0.000345,27.97,-74.89,41.113281,65.042969,1.840565,612,503,1254.218089,47.49128,2
C07YX021N4CM,Thu Nov  7 22:20:36 20,36,fail,1377.389282,77.185262,77.48708,898,50604451,Calibration,,5781.905969,0.000345,27.97,-74.89,40.148438,65.289062,1.961474,610,506,1256.609259,47.57667,1
C07YX021N4CM,Thu Nov  7 22:21:14 20,22,fail,1379.205038,77.760801,80.593642,898,50604451,Calibration,,5794.623638,0.000345,27.97,-74.89,41.78125,65.410156,1.831104,608,499,1255.239977,47.527772,1
C07YX021N4CM,Thu Nov  7 22:22:06 20,36,fail,1378.702338,79.308081,81.486717,894,50604451,Calibration,,5817.442259,0.000345,27.97,-74.89,42.242188,64.980469,1.919347,595,515,1263.464335,47.821469,1
C07YX021N4CM,Thu Nov  7 22:22:49 20,22,fail,1377.7556,78.523009,81.026645,897,50604451,Calibration,,5801.919961,0.000345,27.97,-74.89,41.957031,65.496094,1.853326,606,506,1256.682382,47.579282,1
C07YX021N4CM,Thu Nov  7 22:23:26 20,22,fail,1379.373489,79.125488,81.245088,893,50604451,Calibration,,5820.372245,0.000345,27.97,-74.89,42.042969,65.097656,1.801022,597,497,1262.398564,47.78341,1
C07YX021N4CM,Thu Nov  7 22:24:07 20,22,fail,1377.493236,76.891961,77.217531,897,50604451,Calibration,,5782.669241,0.000345,27.97,-74.89,39.976562,65.085938,1.836435,606,493,1257.446103,47.606555,1
C07Z3006N4CM,Thu Nov  7 22:25:28 20,36,fail,1377.583283,73.356241,71.478913,850,50604451,Calibration,,5870.156924,0.000345,27.97,-74.89,37.187793,67.667969,1.955547,660,467,1318.353291,49.781536,1
C07Z3006N4CM,Thu Nov  7 22:26:04 20,22,fail,1380.092917,78.575211,76.039617,847,50604451,Calibration,,5926.557907,0.000345,27.97,-74.89,39.196721,64.3125,1.891397,665,510,1323.72287,49.973276,1
C07Z3006N4CM,Thu Nov  7 22:26:58 20,22,fail,1379.229703,75.949218,73.322794,852,50604451,Calibration,,5911.288765,0.000345,27.97,-74.89,38.065728,66.738281,1.849565,659,499,1321.222019,49.883974,1
C07Z3006N4CM,Thu Nov  7 22:27:55 20,44,fail,1379.216377,72.496846,70.432779,849,50604451,Calibration,,5873.740219,0.000345,27.97,-74.89,36.596244,67.648438,1.919855,661,481,1326.227659,50.062719,4
C07Z3006N4CM,Thu Nov  7 22:28:33 20,24,fail,1381.581326,73.260149,71.577703,850,50604451,Calibration,,5874.219215,0.000345,27.97,-74.89,36.71831,66.636719,1.835232,662,472,1332.881657,50.300323,2
C07Z3006N4CM,Thu Nov  7 22:29:09 20,22,fail,1380.867516,72.963327,71.457314,850,50604451,Calibration,,5882.645728,0.000345,27.97,-74.89,36.86385,67.148438,1.79921,663,494,1323.561829,49.967526,1
